comment_id,comment_url,commenter_id,commenter_url,commenter_name,commenter_meta,comment_text,comment_time,comment_image,comment_reactors,comment_reactions,comment_reaction_count,replies
1792533181189232,https://facebook.com/1792533181189232,100029750857194,https://facebook.com/victorpark.lopez?eav=Afal6AsNvDvpgpg4ctA1-zkiYs32aqNJnIU_THTjRIYUakW8NQE7cYlXvUuoJ7pHokI&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Syrex OC,,Solamente pido que añada la opción del Crossave,,,[],,,[]
662499295934044,https://facebook.com/662499295934044,100001364394197,https://facebook.com/AxGHOSTx?eav=AfblWgditsAa23v9TNqR4PlBz2bFsfNnMaChP6gZPRuDDSXDJsrx0JyTDKyqT629gZI&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Joseph Blake,Fan cứng,Smart choice showing the Nevera since the Duess wasn't that impressive and so far neither is the 300+. Car's performance in accordance to rank are getting worse and worse if you actually expect player's to spend real money start making the car's worth it.,,,[],,,[]
7021337777924537,https://facebook.com/7021337777924537,100001774704814,https://facebook.com/atif.rasheed.921?eav=Afa1QJDLK8mNaEJIRWQiCANY9lOGKWqwu7uBBT84yAZKguRigrnQWTWiY1nQPp2aXD4&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Atif Rasheed,Fan cứng,WORST SEASON again,,https://scontent.fhan5-1.fna.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfBwaYI1dgAFGqlxBUjKeme1rlLNcOP8pu_E22fWgHRWQQ&oe=658D6639&_nc_sid=7da55a,"[{'name': 'Gonzalo Atenas', 'link': 'https://facebook.com/profile.php?id=100094364000757&eav=AfZd9yVrvF8k5VAIBCtiFEiVXO53JbFQ69Q8JST2gp3h77CvgshDZS9b-kY-Iqs-eTk&fref=pb&paipv=0', 'type': 'like'}]",{'like': 1},1.0,[]
1493974348045096,https://facebook.com/1493974348045096,590841509,https://facebook.com/Frarez?eav=AfbnzWfSRU_HuEIq9pZTbXGzY5-efWW67oqczLD1zzH7tIOlojKe-lV8Zt6pSfji7sU&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Frank Fraga,,Only 20 days!!,,,[],,,[]
295484193462501,https://facebook.com/295484193462501,100079508614540,https://facebook.com/profile.php?id=100079508614540&eav=AfaenB4uUj7Jjrd8nzle2uhUMZPpLNEI_ygxcwLc3l4C726XVf2z7QAjAQdp4QOqfMY&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Huy Huỳnh,Fan cứng,❤️,,,[],,,[]
247448958340456,https://facebook.com/247448958340456,100040994380382,https://facebook.com/chris.carrie.7315?eav=AfYLibDTFs_05dcl5RMHcxpyYTWYu03c31H-ORsH5MVBXPmVTSYqoQCZbGIUw8NSKnI&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Chris Carrie,,Avec tous les tricheurs qui ce trouve sur se jeux bonne chance.,,,[],,,[]
1401656980766358,https://facebook.com/1401656980766358,100002496448574,https://facebook.com/wahid.wahidrasel?eav=AfZ8MWOlIDa_P4L-1a3XgoUV8EfcY1ar-EXSjMnGATmyDJXTcxrkkclKAYFH3glDpdY&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Wahid Russel,Fan cứng,The worst black Friday event ever. No exclusive car and nothing else ..lol a9 team,,https://scontent.fhan5-1.fna.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfBwaYI1dgAFGqlxBUjKeme1rlLNcOP8pu_E22fWgHRWQQ&oe=658D6639&_nc_sid=7da55a,"[{'name': 'Gonzalo Atenas', 'link': 'https://facebook.com/profile.php?id=100094364000757&eav=AfYosjWy9lm39OhG6u7tARIrbUzCWW7Tqr-Xsf6NX-zokXoKWrIG_djtH1OdHiAqXFM&fref=pb&paipv=0', 'type': 'like'}, {'name': 'Rastislav Tkáč', 'link': 'https://facebook.com/rastislav.tkac.1?eav=AfZ9XLhJxPRWOhd2-MXe_Qz1pdjrRtC2V1DOM3AO61VRd56BhzBYKgJ2NJK-V2VpdOk&fref=pb&paipv=0', 'type': 'like'}]",{'like': 2},2.0,[]
664070742477426,https://facebook.com/664070742477426,100009046665842,https://facebook.com/profile.php?id=100009046665842&eav=AfYaJL5eAQCFjky6EmJUjKvMNRCtwBJyz9JUUrFoc9ynGgMnwZQBBhwOsLpL14iXlbw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Aman Mishra,,Worst burst of speed event ever......no free try car and only key car packs,,https://scontent.fhan5-1.fna.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfBwaYI1dgAFGqlxBUjKeme1rlLNcOP8pu_E22fWgHRWQQ&oe=658D6639&_nc_sid=7da55a,"[{'name': 'Gonzalo Atenas', 'link': 'https://facebook.com/profile.php?id=100094364000757&eav=AfaVDZ5aF9FBFQY7BXaLXHJRLiAKXAQRxbpO2qWqa9zzNhYYPAR0OQ2EpJOTUOIkOJ0&fref=pb&paipv=0', 'type': 'like'}, {'name': 'El Gadumaliev', 'link': 'https://facebook.com/elnur.gadymaliev?eav=AfbU0zsQHb2RK1WDr-BoxvsQRxA9k2G82R9S0lAfn7pNgK-qPtcHwbe3C4HzKdQOs0s&fref=pb&paipv=0', 'type': 'like'}]",{'like': 2},2.0,[]
3467894880129763,https://facebook.com/3467894880129763,100005944602902,https://facebook.com/profile.php?id=100005944602902&eav=AfYGHgv-SBa_sevlsBKNTCFQ1LLKwqAJx9_S4r86MjvX4aBYeoz2RKeRjdmHO4qErQs&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Rai Muhammad Jawad,,Any private servers for this game ?,,,[],,,[]
1017449202641433,https://facebook.com/1017449202641433,100002908809768,https://facebook.com/james.oneill.1829?eav=AfbQx-K0sngnZCFIF2MCk9dKXUVLnxfmuMjM01LMDqy8mNZlFIkmlX5VX2EBrhSuRkI&fref=nf&rc=p&refid=52&__tn__=R&paipv=0,Seanhausen Bundy,Fan cứng,How do I extend the progress of my Showcase Showroom? YOU said I could do this in the instructions.,,https://scontent.fhan15-1.fna.fbcdn.net/v/t39.30808-6/404413380_6975581095882115_521659867343340868_n.jpg?stp=cp0_dst-jpg_e15_q65_s180x540&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=rCPyaYpWLMgAX8fxb44&_nc_ht=scontent.fhan15-1.fna&oh=00_AfAm2SrvyiTuZXWceqMipG4vv_78MGai3LxV3M1RgzFIow&oe=656BB0F0,[],,,"[{'comment_id': '1718817565290719', 'comment_url': 'https://facebook.com/1718817565290719', 'commenter_id': '100004416668423', 'commenter_url': 'https://facebook.com/murat.tohan.9?eav=AfY0_LJvXh7m8PwTt11z7KojCiesWpaWcvEFyi8DJxSbJQ_JSZ5kC7UyT0MPywvXDOQ&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Murat Tohan', 'commenter_meta': None, 'comment_text': 'Seanhausen Bundy etkinlik tamamlanmazsa yeniden seçebilirsin aynı etkinliği yani uzatmış oluyorsun', 'comment_time': None, 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]"
